#,Name,Color,Parent,Start,Stop,Icon,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description
#,UNIX AND UNIX-LIKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,UNIX systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,Unicos/mp [Cray],#FF8585,IRIX [SGI],2002.8,2006.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,Unix/NS [NCR],#FF8585,UNIX System III [AT&T],1992,1993.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,UTS [Amdahl],#FF8585,UNIX System III [AT&T],1981.5,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,UTS/M [Fujitsu],#FF8585,UTS [Amdahl],1985.4,1990.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,UXP/DS [Fujitsu],#FF8585,UNIX System III [AT&T],1991,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,V/386,#FF8585,UNIX System III [AT&T],1985,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,VIOS,#8B0000,AIX [IBM],2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,WEGA [East Germany],#FF8585,UNIX System III [AT&T],1986,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,Solaris [Sun],#8B0000,UNIX System III [AT&T],1992.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,BeleniX,#FF8585,OpenSolaris,2005.10.4,2008.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,DilOS,#8B0000,OpenSolaris,2012.7.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,Dyson,#FF8585,OpenSolaris,2014.2,2019.11.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,Helios,#8B0000,OpenSolaris,2020.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,Illumian,#FF8585,OpenIndiana,2012.2,2012.2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,MartUX,#FF8585,OpenSolaris,2006.8.4,2014.6.4,,,OpenSXCE,2013.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
